,Max_Temp,Min_Temp,Avg_Temp,Air_Frost,Total_Rainfall,Sunshine_Duration,Enjoyment,Raw
152,23.5,14.3,18.9,0.0,36.4,182.6,0.6747409422235527,4.0
153,23.5,14.3,18.9,0.0,36.4,182.6,0.0,0.0
154,23.5,14.3,18.9,0.0,36.4,182.6,1.39408747072486,28.0
155,23.5,14.3,18.9,0.0,36.4,182.6,0.3805063771123649,2.0
156,23.5,14.3,18.9,0.0,36.4,182.6,-0.805003494254653,-5.2
157,23.5,14.3,18.9,0.0,36.4,182.6,1.2490457723982544,15.0
158,23.5,14.3,18.9,0.0,36.4,182.6,0.9505468408120751,7.0
159,20.0,10.3,15.15,0.0,41.2,178.9,1.1760052070951352,12.0
160,20.0,10.3,15.15,0.0,41.2,178.9,1.4399689307208396,38.0
161,20.0,10.3,15.15,0.0,41.2,178.9,0.0,0.0
162,20.0,10.3,15.15,0.0,41.2,178.9,1.1760052070951352,12.0
163,20.0,10.3,15.15,0.0,41.2,178.9,-0.4228539261329407,-2.25
164,20.0,10.3,15.15,0.0,41.2,178.9,0.6747409422235527,4.0
165,20.0,10.3,15.15,0.0,41.2,178.9,0.3805063771123649,2.0
166,20.0,10.3,15.15,0.0,41.2,178.9,-0.26060239174734096,-1.3333333333333333
167,20.0,10.3,15.15,0.0,41.2,178.9,-0.26060239174734096,-1.3333333333333333
168,20.0,10.3,15.15,0.0,41.2,178.9,0.6747409422235527,4.0
169,14.2,8.0,11.1,0.0,88.4,85.6,-0.26060239174734096,-1.3333333333333333
170,14.2,8.0,11.1,0.0,88.4,85.6,1.299849476456476,18.0
171,14.2,8.0,11.1,0.0,88.4,85.6,-0.4228539261329407,-2.25
172,14.2,8.0,11.1,0.0,88.4,85.6,1.299849476456476,18.0
173,14.2,8.0,11.1,0.0,88.4,85.6,0.6747409422235527,4.0
174,14.2,8.0,11.1,0.0,88.4,85.6,0.3805063771123649,2.0
175,14.2,8.0,11.1,0.0,88.4,85.6,0.6747409422235527,4.0
176,14.2,8.0,11.1,0.0,88.4,85.6,0.8760580505981934,6.0
177,14.2,8.0,11.1,0.0,88.4,85.6,-0.23554498072086333,-1.2
178,11.0,4.6,7.8,1.0,71.8,75.4,0.6747409422235527,4.0
179,11.0,4.6,7.8,1.0,71.8,75.4,0.0,0.0
180,11.0,4.6,7.8,1.0,71.8,75.4,0.3805063771123649,2.0
181,11.0,4.6,7.8,1.0,71.8,75.4,0.8760580505981934,6.0
182,11.0,4.6,7.8,1.0,71.8,75.4,0.0,0.0
183,11.0,4.6,7.8,1.0,71.8,75.4,0.3805063771123649,2.0
184,11.0,4.6,7.8,1.0,71.8,75.4,-0.4228539261329407,-2.25
185,11.0,4.6,7.8,1.0,71.8,75.4,0.8760580505981934,6.0
186,11.0,4.6,7.8,1.0,71.8,75.4,1.3654009376051293,24.0
187,11.0,4.6,7.8,1.0,71.8,75.4,-0.4228539261329407,-2.25
188,11.0,4.6,7.8,1.0,71.8,75.4,0.3805063771123649,2.0
189,11.0,4.6,7.8,1.0,71.8,75.4,0.0,0.0
190,11.0,4.6,7.8,1.0,71.8,75.4,0.0,0.0
191,9.0,2.6,5.8,10.0,95.8,58.0,1.1441688336680205,11.0
192,9.0,2.6,5.8,10.0,95.8,58.0,-0.5880026035475676,-3.3333333333333335
193,9.0,2.6,5.8,10.0,95.8,58.0,0.3805063771123649,2.0
194,9.0,2.6,5.8,10.0,95.8,58.0,-0.4636476090008061,-2.5
195,9.0,2.6,5.8,10.0,95.8,58.0,-0.22471116841464267,-1.1428571428571428
196,9.0,2.6,5.8,10.0,95.8,58.0,0.9505468408120751,7.0
197,9.0,2.6,5.8,10.0,95.8,58.0,-0.23554498072086333,-1.2
198,9.0,2.6,5.8,10.0,95.8,58.0,0.8760580505981934,6.0
199,9.0,2.6,5.8,10.0,95.8,58.0,0.8760580505981934,6.0
200,9.0,2.6,5.8,10.0,95.8,58.0,-0.5611634122883522,-3.142857142857143
201,9.0,2.6,5.8,10.0,95.8,58.0,-0.26060239174734096,-1.3333333333333333
202,9.0,2.6,5.8,10.0,95.8,58.0,1.496307536581015,67.0
203,9.0,2.6,5.8,10.0,95.8,58.0,0.0,0.0
204,9.0,2.6,5.8,10.0,95.8,58.0,-0.26060239174734096,-1.3333333333333333
205,9.0,2.6,5.8,10.0,95.8,58.0,0.3805063771123649,2.0
206,9.0,2.6,5.8,10.0,95.8,58.0,-0.26060239174734096,-1.3333333333333333
207,9.0,2.6,5.8,10.0,95.8,58.0,1.455037109074086,43.0
208,9.0,2.6,5.8,10.0,95.8,58.0,0.6747409422235527,4.0
209,9.0,2.6,5.8,10.0,95.8,58.0,-0.5880026035475676,-3.3333333333333335
210,6.5,2.0,4.25,13.0,50.1,34.5,0.8760580505981934,6.0
211,6.5,2.0,4.25,13.0,50.1,34.5,-0.3805063771123649,-2.0
212,6.5,2.0,4.25,13.0,50.1,34.5,0.0,0.0
213,6.5,2.0,4.25,13.0,50.1,34.5,1.0121970114513341,8.0
214,6.5,2.0,4.25,13.0,50.1,34.5,0.3805063771123649,2.0
215,6.5,2.0,4.25,13.0,50.1,34.5,-0.4636476090008061,-2.5
216,6.5,2.0,4.25,13.0,50.1,34.5,0.6747409422235527,4.0
217,6.5,2.0,4.25,13.0,50.1,34.5,0.3805063771123649,2.0
218,6.5,2.0,4.25,13.0,50.1,34.5,0.8760580505981934,6.0
219,6.5,2.0,4.25,13.0,50.1,34.5,1.3876855095324125,27.0
220,6.5,2.0,4.25,13.0,50.1,34.5,0.0,0.0
221,6.5,2.0,4.25,13.0,50.1,34.5,0.6747409422235527,4.0
222,6.5,2.0,4.25,13.0,50.1,34.5,0.6747409422235527,4.0
223,6.5,2.0,4.25,13.0,50.1,34.5,1.1441688336680205,11.0
224,6.7,1.2,3.95,4.0,32.8,64.9,0.8760580505981934,6.0
225,6.7,1.2,3.95,4.0,32.8,64.9,0.6747409422235527,4.0
226,6.7,1.2,3.95,4.0,32.8,64.9,-0.3805063771123649,-2.0
227,6.7,1.2,3.95,4.0,32.8,64.9,0.6747409422235527,4.0
228,6.7,1.2,3.95,4.0,32.8,64.9,0.0,0.0
229,6.7,1.2,3.95,4.0,32.8,64.9,1.299849476456476,18.0
230,6.7,1.2,3.95,4.0,32.8,64.9,-0.4636476090008061,-2.5
231,6.7,1.2,3.95,4.0,32.8,64.9,-0.5880026035475676,-3.3333333333333335
232,6.7,1.2,3.95,4.0,32.8,64.9,0.8760580505981934,6.0
233,6.7,1.2,3.95,4.0,32.8,64.9,0.6747409422235527,4.0
234,6.7,1.2,3.95,4.0,32.8,64.9,-0.23554498072086333,-1.2
235,6.9,1.2,4.05,11.0,52.8,62.3,0.6747409422235527,4.0
236,6.9,1.2,4.05,11.0,52.8,62.3,-0.26060239174734096,-1.3333333333333333
237,6.9,1.2,4.05,11.0,52.8,62.3,1.1441688336680205,11.0
238,6.9,1.2,4.05,11.0,52.8,62.3,0.9505468408120751,7.0
239,6.9,1.2,4.05,11.0,52.8,62.3,1.1441688336680205,11.0
240,6.9,1.2,4.05,11.0,52.8,62.3,1.299849476456476,18.0
241,13.5,4.7,9.1,3.0,34.0,162.8,1.0121970114513341,8.0
242,13.5,4.7,9.1,3.0,34.0,162.8,-0.4636476090008061,-2.5
243,13.5,4.7,9.1,3.0,34.0,162.8,0.8760580505981934,6.0
244,13.5,4.7,9.1,3.0,34.0,162.8,0.3805063771123649,2.0
245,13.5,4.7,9.1,3.0,34.0,162.8,0.0,0.0
246,13.5,4.7,9.1,3.0,34.0,162.8,1.1441688336680205,11.0
247,13.5,4.7,9.1,3.0,34.0,162.8,0.0,0.0
248,13.5,4.7,9.1,3.0,34.0,162.8,-0.5880026035475676,-3.3333333333333335
249,13.5,4.7,9.1,3.0,34.0,162.8,0.6747409422235527,4.0
250,13.5,4.7,9.1,3.0,34.0,162.8,-0.4636476090008061,-2.5
251,13.5,4.7,9.1,3.0,34.0,162.8,-0.3805063771123649,-2.0
252,13.5,4.7,9.1,3.0,34.0,162.8,0.9505468408120751,7.0
253,13.5,4.7,9.1,3.0,34.0,162.8,0.3805063771123649,2.0
254,13.5,4.7,9.1,3.0,34.0,162.8,0.9505468408120751,7.0
255,13.5,4.7,9.1,3.0,34.0,162.8,0.0,0.0
256,16.4,7.7,12.05,0.0,41.8,163.3,-0.40890782895092537,-2.1666666666666665
257,16.4,7.7,12.05,0.0,41.8,163.3,0.0,0.0
258,16.4,7.7,12.05,0.0,41.8,163.3,-0.3805063771123649,-2.0
259,16.4,7.7,12.05,0.0,41.8,163.3,0.6747409422235527,4.0
260,16.4,7.7,12.05,0.0,41.8,163.3,-0.26060239174734096,-1.3333333333333333
261,16.4,7.7,12.05,0.0,41.8,163.3,-0.4228539261329407,-2.25
262,16.4,7.7,12.05,0.0,41.8,163.3,-0.4636476090008061,-2.5
263,16.4,7.7,12.05,0.0,41.8,163.3,1.299849476456476,18.0
264,16.4,7.7,12.05,0.0,41.8,163.3,0.8760580505981934,6.0
265,16.4,7.7,12.05,0.0,41.8,163.3,1.2490457723982544,15.0
266,24.3,14.3,19.3,0.0,32.6,198.7,0.9505468408120751,7.0
267,24.3,14.3,19.3,0.0,32.6,198.7,-0.4228539261329407,-2.25
268,24.3,14.3,19.3,0.0,32.6,198.7,0.9505468408120751,7.0
269,24.3,14.3,19.3,0.0,32.6,198.7,-0.3805063771123649,-2.0
270,24.3,14.3,19.3,0.0,32.6,198.7,0.8760580505981934,6.0
271,24.3,14.3,19.3,0.0,32.6,198.7,-0.4228539261329407,-2.25
272,24.3,14.3,19.3,0.0,32.6,198.7,1.1441688336680205,11.0
273,24.3,14.3,19.3,0.0,32.6,198.7,-0.3805063771123649,-2.0
274,19.7,11.1,15.4,0.0,49.6,118.9,0.6747409422235527,4.0
275,19.7,11.1,15.4,0.0,49.6,118.9,0.3805063771123649,2.0
276,19.7,11.1,15.4,0.0,49.6,118.9,0.9505468408120751,7.0
277,19.7,11.1,15.4,0.0,49.6,118.9,-0.23554498072086333,-1.2
278,19.7,11.1,15.4,0.0,49.6,118.9,-0.4636476090008061,-2.5
279,19.7,11.1,15.4,0.0,49.6,118.9,1.1441688336680205,11.0
280,19.7,11.1,15.4,0.0,49.6,118.9,-0.26060239174734096,-1.3333333333333333
281,17.0,10.6,13.8,0.0,81.4,89.6,0.6747409422235527,4.0
282,17.0,10.6,13.8,0.0,81.4,89.6,1.299849476456476,18.0
283,17.0,10.6,13.8,0.0,81.4,89.6,-0.4228539261329407,-2.25
284,17.0,10.6,13.8,0.0,81.4,89.6,1.299849476456476,18.0
285,17.0,10.6,13.8,0.0,81.4,89.6,-0.5693131911006619,-3.2
286,17.0,10.6,13.8,0.0,81.4,89.6,-0.4636476090008061,-2.5
